Summary,Description,Priority,Status
User Authentication,Register and Login functionality with JWT,High,Done
Website Management API,CRUD operations for Websites,High,Done
Database Setup,MongoDB connection and Schema design,High,Done
Frontend Setup,React/Angular/Vue project initialization,Medium,Todo
Dashboard UI,Visual dashboard for website stats,Medium,Todo
Website List UI,Table view of websites,Medium,Todo
Add Website UI,Form to submit websites,Medium,Todo
User Profile,Manage user settings,Low,Todo
Admin Panel,User management for admins,Low,Todo
Notifications,Email alerts for high risk sites,Low,Todo
